Nation,Region,Recognition,Address,Website
Lac Courte Oreilles Band of Lake Superior Chippewa Indians,Midwest,Federal,"13394 W Trepania Road, Hayward, WI54843-2186",http://www.lco-nsn.gov
Lac du Flambeau Band of Lake Superior Chippewa Indians,Midwest,Federal,"PO Box 67, Lac Du Flambeau, WI54538-0067",http://www.lacduflambeautribe.com
Lac Vieux Desert Band of Lake Superior Chippewa,Midwest,Federal,"PO Box 249, Watersmeet, MI49969-0249",http://www.lvdtribal.com
Las Vegas Paiute Tribe,Western,Federal,"One Paiute Drive, Las Vegas, NV89106-3261",http://www.lvpaiutetribe.com
Leech Lake Band of Ojibwe,Midwest,Federal,"190 Sailstar Dr NE, Cass Lake, MN56633",http://www.llojibwe.org
Lenape Indian Tribe of Delaware,Northeast,State,"4164 N Dupont Hwy Ste 6, Dover, DE19901-1573",http://www.lenapeindiantribeofdelaware.com
Levelock Village Council,Alaska,Federal,"PO Box 70, Levelock, AK99625-0070",
Lime Village,Alaska,Federal,"PO Box LVD, McGrath, AK99627",
Lipan Apache Tribe of Texas,Southern Plains,State,"PO Box 5218, McAllen, TX78502",http://www.lipanapache.org/Communitypages.html
Little River Band of Ottawa Indians,Midwest,Federal,"2608 Government Center Dr, Manistee, MI49660-2729",http://www.lrboi.com
Little Shell Tribe of Chippewa Indians of Montana,Rocky Mountain,State,"615 Central Ave West, Great Falls, MT59404",https://www.montanalittleshelltribe.org/
Little Traverse Bay Bands of Odawa Indians,Midwest,Federal,"7500 Odawa Circle, Harbor Springs, MI49740-9692",http://www.ltbbodawa-nsn.gov
Lone Pine Paiute Shoshone Reservation,Pacific,Federal,"PO Box 747, Lone Pine, CA93545-0747",http://www.lppsr.org
Los Coyotes Band of Cahuilla and Cupeno Indians,Pacific,Federal,"PO Box 189, Warner Springs, CA92086-0189",http://www.loscoyotestribe.com/home2
Lovelock Paiute Tribe,Western,Federal,"PO Box 878, Lovelock, NV89419-0878",http://www.lovelockpaiutetribe.com/
